Year of release,Aired On,Number of Episodes,Duration,Content Rating,Rating,Screenwriter,Rank,Genre_Main,Cast_Main
2019,"Wednesday, Thursday",16,1 hr. 20 min.,15+ - Teens 15 or older,8.3,"Kwon Min Soo, Park Min Kyung",#200,Thriller,Im Soo Hyang
2013,"Monday, Tuesday",24,1 hr. 5 min.,15+ - Teens 15 or older,8.3,Kang Eun Kyung,#201,Action,Lee Seung Gi
2018,"Monday, Tuesday",6,35 min.,15+ - Teens 15 or older,8.3,Jo Soo Jin,#202,Music,Lee Jong Suk
2012,Sunday,11,1 hr. 5 min.,15+ - Teens 15 or older,8.3,"Han Jung Hoon, Kang Eun Seon",#204,Action,Yeon Jung Hoon
2013,"Monday, Tuesday, Wednesday, Thursday, Friday",133,35 min.,15+ - Teens 15 or older,8.3,Jung Ji Woo,#205,Business,Im Joo Hwan
2018,"Friday, Saturday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.3,Je In,#206,Thriller,Kim Nam Joo
2019,"Saturday, Sunday",16,60 min.,15+ - Teens 15 or older,8.3,Ma Jin Won,#207,Thriller,Lee  Ha Na
2019,"Saturday, Sunday",16,60 min.,15+ - Teens 15 or older,8.3,Im Hee Chul,#208,Thriller,Lee Jun Ho
2022,"Friday, Saturday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.3,"Lee Byung Hun, Kim Yool, J",#209,Mystery,Lee Joon Gi
2022,Friday,6,1 hr. 10 min.,18+ Restricted (violence & profanity),8.3,"Ryu Yong Jae, Kim Hwan Chae, Choi Sung Joon",#210,Action,Yoo Ji Tae
2018,"Monday, Tuesday",36,35 min.,15+ - Teens 15 or older,8.3,Jo Jung Joo,#211,Comedy,Seo Kang Joon
2020,"Wednesday, Thursday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.3,Park Shi Hyun,#212,Romance,Yim Si Wan
2018,"Thursday, Wednesday",16,1 hr. 4 min.,15+ - Teens 15 or older,8.3,Song Hye Jin,#213,Thriller,Seo In Guk
2020,"Saturday, Sunday",12,1 hr. 10 min.,15+ - Teens 15 or older,8.3,"Lee Yoo Jin, Jung Yoon Sun",#214,Action,Cha Tae Hyun
2017,"Monday, Tuesday",32,35 min.,15+ - Teens 15 or older,8.3,Kim Soo Eun,#215,Action,Lee Si Young
2018,"Wednesday, Thursday",32,35 min.,15+ - Teens 15 or older,8.3,Oh Ji Young,#216,Action,So Ji Sub
2020,"Friday, Saturday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.3,Kim Roo Ri,#217,Mystery,Joo Ji Hoon
2019,"Wednesday, Thursday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.3,"Choi Bo Rim, Lee Myung Sook",#218,Comedy,Lee Dong Wook
2015,"Wednesday, Thursday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.3,Kim Ban Di,#219,Comedy,Kim Hee Sun
2019,"Monday, Tuesday",32,35 min.,15+ - Teens 15 or older,8.3,Yoo Hee Kyung,#220,Comedy,Rain
2017,"Wednesday, Thursday",40,30 min.,15+ - Teens 15 or older,8.3,Kwon Ki Young,#221,Thriller,Ji Chang Wook
2021,"Saturday, Sunday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.3,Baek Mi Kyung,#222,Thriller,Lee Bo Young
2020,"Monday, Tuesday",16,60 min.,15+ - Teens 15 or older,8.3,Han Ga Ram,#223,Romance,Park Min Young
2018,"Saturday, Sunday",16,1 hr. 6 min.,15+ - Teens 15 or older,8.3,Yoon Hyun Ho,#224,Action,Lee Joon Gi
2022,"Monday, Tuesday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.3,Kim Bo Gyeom,#225,Comedy,Kim Jae Wook
2019,"Saturday, Sunday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.3,Han Sang Woon,#226,Thriller,Seo Kang Joon
2016,"Saturday, Sunday",54,1 hr. 10 min.,15+ - Teens 15 or older,8.3,Jung Hyun Jung,#227,Comedy,Ahn Jae Wook
2020,Tuesday,10,15 min.,15+ - Teens 15 or older,8.3,Kwak Jae Min,#228,Adventure,Kim Ji Soo
2021,"Tuesday, Thursday",16,24 min.,13+ - Teens 13 or older,8.3,Lee Ji Eum,#229,Romance,Lee Sae On
2021,"Saturday, Sunday",16,1 hr. 15 min.,15+ - Teens 15 or older,8.3,"Seo Jae Won, Kwon So Ra",#230,Thriller,Lee Jin Wook
2014,"Monday, Tuesday",12,1 hr. 3 min.,15+ - Teens 15 or older,8.3,Ryu Yong Jae,#231,Thriller,Lee Sang Yoon
2011,"Wednesday, Thursday",24,1 hr. 9 min.,15+ - Teens 15 or older,8.3,"Kim Young Hyun, Park Sang Yeon",#232,Historical,Han Seok Kyu
2011,"Wednesday, Thursday",20,1 hr. 10 min.,15+ - Teens 15 or older,8.3,So Hyun Kyung,#233,Romance,Lee Yo Won
2015,"Friday, Saturday",20,1 hr. 5 min.,15+ - Teens 15 or older,8.3,Hwang Eun Kyung,#234,Romance,Kim Young Kwang
2020,"Monday, Tuesday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.3,Shin Yoo Dam,#235,Thriller,Namkoong Min
2015,"Monday, Tuesday",16,60 min.,13+ - Teens 13 or older,8.3,Kim Eun Ji,#236,Comedy,So Ji Sub
2019,Sunday,16,60 min.,15+ - Teens 15 or older,8.3,Min Ji Hyung,#237,Action,Lee Dong Gun
2021,"Monday, Tuesday",20,1 hr. 10 min.,15+ - Teens 15 or older,8.3,Han Hee Jung,#238,Historical,Park Eun Bin
2012,"Saturday, Sunday",20,1 hr. 5 min.,15+ - Teens 15 or older,8.3,Kim Eun Sook,#239,Comedy,Jang Dong Gun
2019,"Wednesday, Thursday",40,35 min.,15+ - Teens 15 or older,8.3,Kim Ho Soo,#240,Historical,Shin Se Kyung
2012,"Wednesday, Thursday",20,1 hr. 5 min.,15+ - Teens 15 or older,8.3,Kim Eun Hee,#242,Thriller,So Ji Sub
2019,"Wednesday, Saturday",16,20 min.,15+ - Teens 15 or older,8.3,"Lee Seul, Choi Yo Ji",#243,Romance,Lee Yoo Jin
2018,"Wednesday, Thursday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.3,Kang Eun Seon,#244,Mystery,Ryu Deok Hwan
2015,Saturday,10,1 hr. 10 min.,15+ - Teens 15 or older,8.3,Lee Yoo Jin,#245,Thriller,Kim Kang Woo
2017,"Saturday, Sunday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.3,Kim Eun Hee,#246,Historical,Kim Nam Gil
2017,"Wednesday, Thursday",20,60 min.,15+ - Teens 15 or older,8.3,Choi Jin Young,#247,Historical,Park Min Young
2016,"Friday, Saturday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.3,Kim Ji Woo,#248,Law,Lee Sung Min
2017,"Saturday, Sunday",20,1 hr. 20 min.,15+ - Teens 15 or older,8.3,"Hong Jung Eun, Hong Mi Ran",#249,Horror,Lee Seung Gi
2021,"Friday, Saturday",14,1 hr. 3 min.,15+ - Teens 15 or older,8.3,Ma Jin Won,#250,Action,Lee  Ha Na
